date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
1/21/2014,47.46143,47.495712,45.75,46.958572,25220300,22.56829226,31.39743912,-95.25652555,-90.17239788,50.48425708,49.48055094,47.62505703,47.01305594,-1.18931358,50.32128585,1.745712,1.604711877,1.508627245,47.675713
1/22/2014,47.07143,47.777142,46.764286,47.675713,48342000,37.43793177,37.49325136,-5.306036383,-60.07086482,50.50388562,49.40977129,47.69701416,47.02624237,-1.164835363,50.02171425,1.012856,1.520161037,1.473215013,55.531429
1/23/2014,55.342857,56.51857,53.927143,55.531429,91280000,81.88810642,69.48257456,233.3333333,249.7141657,50.65765706,49.64984181,47.84111416,47.19547337,-0.505715993,50.0798571,8.842857,2.56626046,1.999618013,55.154285
1/24/2014,54.811428,55.814285,54.76857,55.154285,35466900,78.75407305,67.69148101,115.8683915,196.9824058,50.7952856,49.86570709,47.9870713,47.35381783,-0.013634344,50.13478565,1.045715,2.34903968,1.931482084,54.46143
1/27/2014,55.341431,55.92857,52.937141,54.46143,32526900,72.78373314,64.40679477,68.07892791,140.1256462,50.93099994,50.04593534,48.11882847,47.49521404,0.316784604,50.1655001,2.991429,2.440809583,2.007192578,58.110001
1/28/2014,54.474285,58.201427,54.394287,58.110001,43590400,81.43185483,72.08781404,81.56986688,146.5120572,51.13525708,50.36217965,48.28217133,47.70636133,0.863103865,50.44600015,3.80714,2.635999643,2.135760251,57.202858
1/29/2014,57.58857,58.191429,56.864285,57.202858,28968100,74.55963922,68.14999959,75.49202423,120.5163767,51.3005428,50.6304468,48.43261422,47.89524684,1.20893115,50.6847859,1.327144,2.449020265,2.078001947,57.810001
1/30/2014,58.157143,58.455715,57.35857,57.810001,18379200,76.13243587,69.35651125,85.00100463,103.8713391,51.45742854,50.91200324,48.59422852,48.09243414,1.514534519,50.9455002,1.252857,2.278139799,2.019063022,58.475716
1/31/2014,57.472858,58.914288,57.471428,58.475716,23625000,77.88166194,70.66852393,92.99855278,92.98856236,51.65045712,51.20862478,48.75877141,48.29892183,1.789813176,51.27771455,1.44286,2.158814113,1.977905664,57.76857
02-03-2014,58.842857,58.878571,57.245712,57.76857,20145300,71.39702734,67.36889807,62.43820246,76.89325587,51.84214284,51.465882,48.88922853,48.48722457,1.928680099,51.5725716,1.632859,2.083677668,1.953259473,57.987144
02-04-2014,57.921429,58.361427,56.715714,57.987144,18066300,72.23080413,67.86829576,34.7493672,65.23798145,52.03182858,51.72162203,49.02867139,48.67611359,2.032935813,51.9035717,1.645713,2.021111287,1.931291868,57.774284
02-05-2014,57.592857,58.25,56.857143,57.774284,16762900,69.91526055,66.7961679,-11.37477161,59.20508784,52.1916,51.95898513,49.17582852,48.85699985,2.074469995,52.3672859,1.392857,1.931360675,1.892832235,58.272858
02-06-2014,58.060001,58.701427,57.202858,58.272858,12852000,72.33846032,68.06855276,62.037606,62.85415294,52.36320004,52.2065918,49.32191422,49.04418735,2.123142622,52.845286,1.498569,1.869533293,1.864670575,61.425713
02-07-2014,59.062859,61.5,58.651428,61.425713,32921000,82.64910777,74.67706115,233.3333333,110.0190642,52.59102858,52.56813131,49.50451421,49.29031318,2.38859089,53.50907155,3.227142,2.063477394,1.961989963,61.491428
02-10-2014,61.347141,61.767143,60.611427,61.491428,13812400,82.80496251,74.79415425,137.5927985,137.5514205,52.80599996,52.91806948,49.69149991,49.53283417,2.574584992,54.21121445,1.155716,1.933797195,1.904398965,61.998569
02-11-2014,61.422855,62.251431,60.787144,61.998569,13667500,84.09154383,75.72695805,98.79058451,168.4804037,53.01028562,53.27417237,49.87302845,49.78059643,2.73142256,54.90535715,1.464287,1.86672431,1.872962396,61.275715
02-12-2014,62.111427,62.128571,60.791428,61.275715,15673000,74.78635602,71.65643001,65.28337264,123.6951306,53.1906571,53.58796247,50.04935703,50.00905045,2.765510107,55.55514295,1.337143,1.791069837,1.834689582,62.364285
2/13/2014,60.812859,62.784286,60.714287,62.364285,18700500,78.89034761,73.92914978,73.75106001,114.5218853,53.39817138,53.93213632,50.22467133,50.25458073,2.847538582,56.3135,2.069999,1.83091686,1.851497398,62.215714
